Date,FIPS,Longitude,Latitude,CO_ppbv,NO_ppbv,NO2_ppbv,NOX_ppbv,SO2_ppbv,ALD2_ppbv,FORM_ppbv,pm25_daily_average,pm25_daily_average_stderr,ozone_daily_8hour_maximum,ozone_daily_8hour_maximum_stderr
2010/02/02,25001012101,-70.23855999999999,41.66962,204.61017,0.95891,8.51881,9.47772,2.18062,0.2797199999999999,0.62836,8.726,3.8718,32.985,8.068999999999999
2010/02/03,25001012101,-70.23855999999999,41.66962,243.28442,0.8407899999999999,9.59751,10.4383,1.7922,0.32702,0.66755,10.5,4.0493,32.782,7.558
2010/02/04,25001012101,-70.23855999999999,41.66962,228.661,1.11456,10.55584,11.6704,1.05719,0.24622,0.26365,8.134,3.9952,36.241,6.8751
2010/02/05,25001012101,-70.23855999999999,41.66962,199.85631,0.81607,8.494489999999999,9.31056,1.89562,0.27871,0.66445,7.369,3.5714,36.681,7.0423
2010/02/06,25001012101,-70.23855999999999,41.66962,146.82641999999998,0.18915,1.98172,2.17086,0.46293,0.10017,0.12707,4.426,2.4424,36.113,7.1942
2010/02/07,25001012101,-70.23855999999999,41.66962,146.46313,0.50174,1.74167,2.24341,0.58582,0.1199799999999999,0.14434,4.291,2.2252,35.042,6.2461
2010/02/08,25001012101,-70.23855999999999,41.66962,162.49889,0.6279399999999999,3.78838,4.41633,0.80292,0.17207,0.2248,4.292,2.695,32.342,6.0282
2010/02/09,25001012101,-70.23855999999999,41.66962,188.85252,1.82717,6.830210000000001,8.65738,1.46987,0.2332199999999999,0.28622,6.622999999999998,2.8781,29.618,6.1133
2010/02/10,25001012101,-70.23855999999999,41.66962,272.53094,1.89104,14.57679,16.46783,1.63386,0.2994199999999999,0.5848800000000001,7.399,2.7289,37.769,7.2109
2010/02/11,25001012101,-70.23855999999999,41.66962,137.22333,0.30338,2.29129,2.5946700000000003,0.50876,0.11134,0.11712,4.615,2.7009,37.828,7.3433
2010/02/12,25001012101,-70.23855999999999,41.66962,190.4762,1.53799,7.28776,8.82575,1.27155,0.22891,0.2775,5.898,3.1015,39.032,7.2582
2010/02/13,25001012101,-70.23855999999999,41.66962,224.35863,1.26421,10.16886,11.43307,2.53549,0.35506,0.6168899999999999,5.899,2.8622,35.191,6.7192
2010/02/14,25001012101,-70.23855999999999,41.66962,166.3002,0.4484399999999999,4.77725,5.22569,1.13756,0.25283,0.24193,5.6110000000000015,2.7110000000000003,36.591,6.2752
2010/02/15,25001012101,-70.23855999999999,41.66962,179.24777,0.70218,5.1063,5.80847,2.81432,0.27917,0.48018,7.247000000000001,3.2347,35.541,6.3144
2010/02/16,25001012101,-70.23855999999999,41.66962,262.07852,0.68355,13.01612,13.69967,1.43415,0.26491,0.32631,8.073,2.9333,39.727,6.5836
2010/02/17,25001012101,-70.23855999999999,41.66962,186.79843,0.92052,5.76101,6.68153,0.76225,0.18097,0.19907,8.134,3.0661,30.563,7.1952
2010/02/18,25001012101,-70.23855999999999,41.66962,177.48361,1.12387,7.578489999999999,8.70236,0.6835899999999999,0.21285,0.18936,5.905,3.2235,34.648,6.7163
2010/02/19,25001012101,-70.23855999999999,41.66962,154.83083,0.59812,4.60372,5.20184,0.87665,0.17386,0.1776599999999999,3.245,2.1357,35.021,6.7779
2010/02/20,25001012101,-70.23855999999999,41.66962,167.91702,0.69047,5.33416,6.02462,1.212,0.2243,0.2835,6.211,3.4385,35.738,6.8477
2010/02/21,25001012101,-70.23855999999999,41.66962,181.98904,0.42382,6.02166,6.44548,1.44702,0.27087,0.56591,5.627000000000002,3.3110000000000004,39.393,6.654
2010/02/22,25001012101,-70.23855999999999,41.66962,170.58597,0.79325,5.043480000000001,5.83673,1.33802,0.23571,0.4449899999999999,5.067,2.6778,34.603,6.0466
2010/02/23,25001012101,-70.23855999999999,41.66962,202.79669,0.49167,6.693060000000001,7.18473,0.6207199999999999,0.1804,0.38908,4.7010000000000005,2.322,35.482,6.8933
2010/02/24,25001012101,-70.23855999999999,41.66962,156.94916,0.14792,1.58523,1.73315,0.1175,0.0466,0.0578,3.957,2.4046,38.775,7.4537
2010/02/25,25001012101,-70.23855999999999,41.66962,207.49736,1.07849,6.16316,7.24165,0.36804,0.09059,0.14284,4.16,2.1171,42.43600000000001,7.4297
2010/02/26,25001012101,-70.23855999999999,41.66962,162.05914,0.35907,3.97186,4.33093,0.44664,0.12611,0.12336,5.164,2.1502,30.893,6.1281
2010/02/27,25001012101,-70.23855999999999,41.66962,194.11627,1.27719,6.93317,8.210360000000001,0.76645,0.1636,0.20318,6.433,2.6838,25.987,5.7745
2010/02/28,25001012101,-70.23855999999999,41.66962,185.70122,0.52354,3.94165,4.46519,1.14379,0.21665,0.38111,7.989,2.7979,33.028,6.5114
2010/03/01,25001012101,-70.23855999999999,41.66962,167.0101,0.27449,3.94176,4.21625,0.50271,0.15504,0.11522,4.377,2.4559,39.773,5.0789
2010/03/02,25001012101,-70.23855999999999,41.66962,139.86955,0.25748,1.992,2.24948,0.14609,0.1004,0.1245599999999999,4.453,2.295,40.26,5.198
2010/03/03,25001012101,-70.23855999999999,41.66962,141.63103,0.19546,1.95577,2.15123,0.07962,0.07235,0.1166,3.714,1.7818,42.368,6.0319
2010/03/04,25001012101,-70.23855999999999,41.66962,127.99685,0.0955299999999999,0.85924,0.95477,0.07969,0.05486,0.07142,3.264,1.9774,41.78,5.325
2010/03/05,25001012101,-70.23855999999999,41.66962,125.44707,0.13875,0.94706,1.08581,0.09689,0.0614899999999999,0.08786,3.945,2.2216,44.85,5.3211
2010/03/06,25001012101,-70.23855999999999,41.66962,158.77508999999998,0.53676,3.34912,3.88588,0.80705,0.19654,0.33136,4.825,2.3727,45.734,5.8304
2010/03/07,25001012101,-70.23855999999999,41.66962,241.95134,0.75275,9.45094,10.20369,1.38911,0.45902,0.57515,9.507,3.8844,50.464,5.5397
2010/03/08,25001012101,-70.23855999999999,41.66962,246.3546,1.49026,8.57652,10.06678,1.41575,0.43806,0.44928,11.130999999999998,4.5515,47.893,6.2782
2010/03/09,25001012101,-70.23855999999999,41.66962,209.01477,0.7119800000000001,8.26259,8.97457,1.00553,0.37575,0.45701,5.978,2.6016,44.51300000000001,5.8882
2010/03/10,25001012101,-70.23855999999999,41.66962,213.14072,1.15755,8.48426,9.64181,0.76926,0.28803,0.54867,4.925,2.2178,45.345,6.0054
2010/03/11,25001012101,-70.23855999999999,41.66962,202.18661,0.51857,8.11604,8.6346,0.66379,0.2074,0.35184,5.575,2.3989,44.935,6.2102
2010/03/12,25001012101,-70.23855999999999,41.66962,168.88776,0.35855,5.0498400000000006,5.40839,0.5153800000000001,0.16562,0.24301,4.896,2.4584,46.577,5.5445
2010/03/13,25001012101,-70.23855999999999,41.66962,138.0865,0.1101,1.5705,1.6806,0.22048,0.08937,0.09767,4.6,1.8217,45.89100000000001,5.093
2010/03/14,25001012101,-70.23855999999999,41.66962,136.6051,0.06102,0.78688,0.8479,0.04992,0.02941,0.02158,2.602,1.2983,47.021,5.1528
2010/03/15,25001012101,-70.23855999999999,41.66962,135.43306,0.1204799999999999,1.08983,1.21031,0.04306,0.02745,0.0297899999999999,3.734,1.5352,44.797,5.376
2010/03/16,25001012101,-70.23855999999999,41.66962,137.89303999999998,0.21518,1.23763,1.45281,0.23671,0.09039,0.16892,5.917999999999998,2.3238,45.298,5.6155
2010/03/17,25001012101,-70.23855999999999,41.66962,253.59453,3.37759,10.35193,13.72952,1.7310299999999998,0.4929,0.6695399999999999,9.132,3.064,44.653,6.544
2010/03/18,25001012101,-70.23855999999999,41.66962,278.90863,1.73635,13.02137,14.75772,1.80335,0.56821,0.60092,7.166,2.309,49.157,5.8455
2010/03/19,25001012101,-70.23855999999999,41.66962,418.05023,5.55989,22.76012,28.32001,1.99279,0.8077300000000001,0.8953,11.134,3.3049,55.404,5.9615
2010/03/20,25001012101,-70.23855999999999,41.66962,341.03012,2.41431,12.40802,14.82233,1.8005,0.754,0.71754,12.326,3.542,62.128,6.7474
2010/03/21,25001012101,-70.23855999999999,41.66962,244.52055,0.3038099999999999,4.498880000000001,4.8027,1.08929,0.55027,0.60422,9.969,2.4015,50.479,5.573
2010/03/22,25001012101,-70.23855999999999,41.66962,214.95132,0.50229,7.70788,8.21017,0.26194,0.21528,0.30967,10.418,2.909,46.203,6.0246
2010/03/23,25001012101,-70.23855999999999,41.66962,181.77899,0.54537,7.28067,7.826039999999999,0.19491,0.15918,0.1370299999999999,3.3310000000000004,1.5793,43.544,5.3143
2010/03/24,25001012101,-70.23855999999999,41.66962,188.2406,0.5879800000000001,6.08333,6.671310000000001,0.37527,0.19343,0.11125,3.23,1.4244,40.979,5.4333
2010/03/25,25001012101,-70.23855999999999,41.66962,179.02347,0.6732600000000001,5.92471,6.59797,1.0077200000000002,0.27747,0.32173,6.928,2.3341,55.803,5.3977
2010/03/26,25001012101,-70.23855999999999,41.66962,142.8811,0.15078,1.50815,1.6589200000000002,0.16876,0.1367,0.10923,5.745,2.6053,50.51300000000001,4.8256
2010/03/27,25001012101,-70.23855999999999,41.66962,135.49471,0.12653,0.71917,0.8457,0.18247,0.07065,0.13388,4.988,1.5882,41.313,4.5119
2010/03/28,25001012101,-70.23855999999999,41.66962,149.8309,0.1729,2.20116,2.37406,0.31638,0.1190599999999999,0.28311,5.704,1.9504,44.98,4.8684
2010/03/29,25001012101,-70.23855999999999,41.66962,128.67877,0.1098599999999999,1.20386,1.31371,0.11015,0.07567,0.07606,4.808,1.7684,45.28100000000001,5.4323
2010/03/30,25001012101,-70.23855999999999,41.66962,131.96546999999998,0.1479,1.54124,1.68914,0.04552,0.06113,0.04166,3.513,1.7389,48.78,4.6324
2010/03/31,25001012101,-70.23855999999999,41.66962,219.13727000000003,0.53372,5.96098,6.4947,0.26599,0.17628,0.18832,2.986,1.4008,37.339,4.4277
2010/04/01,25001012101,-70.23855999999999,41.66962,158.55696,0.31763,2.21973,2.53736,0.14242,0.16864,0.22299,3.112,2.1384,38.695,4.2013
2010/04/02,25001012101,-70.23855999999999,41.66962,156.23533999999998,0.4006099999999999,2.22615,2.62676,0.1937299999999999,0.27004,0.34751,3.507,1.6072,38.507,4.4578
2010/04/03,25001012101,-70.23855999999999,41.66962,148.10208,0.3774699999999999,2.32906,2.70654,0.20398,0.23403,0.2388199999999999,3.077,1.4703,40.968,5.0233
2010/04/04,25001012101,-70.23855999999999,41.66962,169.48813,0.49276,3.27081,3.76358,0.50559,0.51435,0.6486,4.772,2.202,44.673,4.6311
2010/04/05,25001012101,-70.23855999999999,41.66962,227.70238,1.20317,8.077119999999999,9.28029,0.8295799999999999,0.61435,0.79727,6.202999999999999,1.7829,57.87,5.4937
2010/04/06,25001012101,-70.23855999999999,41.66962,288.83182,1.6795,8.55137,10.23087,0.82053,0.77999,0.59801,11.041,3.0408,54.822,5.9229
2010/04/07,25001012101,-70.23855999999999,41.66962,254.07298,0.91393,6.30131,7.21524,0.93847,1.16847,0.8338899999999999,13.66,3.4373,72.17,5.8366
2010/04/08,25001012101,-70.23855999999999,41.66962,286.83295,0.35691,6.32222,6.679130000000001,0.4828399999999999,1.03403,0.6297,12.856,2.9375,53.084,4.8799
2010/04/09,25001012101,-70.23855999999999,41.66962,121.16759,0.18804,2.92451,3.11255,0.08661,0.18181,0.11978,5.229,2.0249,39.397,4.5773
2010/04/10,25001012101,-70.23855999999999,41.66962,168.44054,0.33747,4.57831,4.915780000000001,0.44201,0.21584,0.28224,4.507,2.1764,44.825,4.4317
2010/04/11,25001012101,-70.23855999999999,41.66962,204.0144,0.62774,6.30233,6.93007,1.55929,0.45692,0.48058,7.997999999999998,2.8366,50.09,4.6924
2010/04/12,25001012101,-70.23855999999999,41.66962,245.18681,0.7034100000000001,7.73148,8.43489,1.37814,0.69496,0.84905,7.442,2.4581,48.17100000000001,4.8719
2010/04/13,25001012101,-70.23855999999999,41.66962,191.16147,0.56626,5.19824,5.76449,0.45897,0.45103,0.66757,6.8020000000000005,3.67,43.367,5.1037
2010/04/14,25001012101,-70.23855999999999,41.66962,175.35205,0.60627,3.91101,4.51728,0.77852,0.36122,0.58255,6.779,2.0653,49.706,5.3241
2010/04/15,25001012101,-70.23855999999999,41.66962,193.66534,0.44287,5.53972,5.98259,1.1258,0.5112300000000001,0.75757,7.268,2.8117,46.872,5.5745
2010/04/16,25001012101,-70.23855999999999,41.66962,151.76143000000002,0.2142,3.73215,3.94635,0.2186,0.16423,0.22865,4.569,1.8402,47.0,5.3548
2010/04/17,25001012101,-70.23855999999999,41.66962,147.06586,0.13454,2.13109,2.26563,0.1062,0.1085599999999999,0.06674,2.787,1.4232,46.33600000000001,5.6142
2010/04/18,25001012101,-70.23855999999999,41.66962,187.19592,0.52483,4.11653,4.641369999999999,0.55308,0.2690599999999999,0.31904,3.925,1.7097,32.779,4.6153
2010/04/19,25001012101,-70.23855999999999,41.66962,211.02249,0.7106899999999999,5.8279,6.5385800000000005,0.4852,0.28125,0.45607,4.474,1.7859,40.86,4.8512
2010/04/20,25001012101,-70.23855999999999,41.66962,193.07738,1.08952,9.03503,10.12454,1.31644,0.4622199999999999,0.60942,5.49,1.8832,43.682,5.3858
2010/04/21,25001012101,-70.23855999999999,41.66962,278.22351000000003,2.73423,14.15886,16.893079999999998,1.40359,0.79801,1.02146,9.799,2.8067,54.62,5.6908
2010/04/22,25001012101,-70.23855999999999,41.66962,167.59052,0.26847,3.43137,3.69984,0.4944,0.4996899999999999,0.45907,7.269,2.797,55.714,5.7991
2010/04/23,25001012101,-70.23855999999999,41.66962,193.06277,0.26287,4.5833,4.84617,0.39157,0.4602199999999999,0.3454,7.353,2.3996,47.784,6.0506
2010/04/24,25001012101,-70.23855999999999,41.66962,184.81346,0.64795,5.2729,5.92085,1.01063,0.4455399999999999,0.54873,6.126,2.3691,49.935,5.7384
2010/04/25,25001012101,-70.23855999999999,41.66962,145.2847,0.13548,1.96997,2.10545,0.30776,0.20776,0.22644,5.617000000000001,2.0598,52.392,5.9662
2010/04/26,25001012101,-70.23855999999999,41.66962,142.76658999999998,0.23176,3.10166,3.3334300000000003,0.17968,0.22391,0.1309799999999999,4.34,1.5117,49.504,5.6758
2010/04/27,25001012101,-70.23855999999999,41.66962,145.62491,0.16337,2.70765,2.87103,0.10945,0.27893,0.14126,2.699,2.169,46.725,4.9001
2010/04/28,25001012101,-70.23855999999999,41.66962,155.68878,0.47423,3.608330000000001,4.08256,0.42996,0.2199699999999999,0.1899799999999999,3.169,1.8933,39.256,4.6581
2010/04/29,25001012101,-70.23855999999999,41.66962,142.77831,0.5038,3.3012,3.80501,0.38117,0.24829,0.29247,4.284,1.7584,51.75,4.882
