esri_id,esri_idn,GEOID,stcnty,total_pop2016,total_25plus,nHwtindiv,prp_nHwHHs,prp_HSminus,prp_no_auto,prp_not_insured,EstPropPersons5PlusNoEnglish,median_HH_inc
370010208022,370010208022,15000US370010208022,37001,1195,776,0.4845188285,0.5041493776,0.5734536082,0.2157676349,0.2167364017,0.0949477352,
370010208023,370010208023,15000US370010208023,37001,1819,1030,0.3150082463,0.4496268657,0.5446601942,0.0690298507,0.1894322653,0.4881708021,36553
370010208024,370010208024,15000US370010208024,37001,785,433,0.0636942675,0.1420454545,0.6420323326,0.28125,0.298089172,0.1503546099,16296
370010208025,370010208025,15000US370010208025,37001,760,468,0.4868421053,0.4285714286,0.6623931624,0.3636363636,0.1052631579,0,19615
370010208026,370010208026,15000US370010208026,37001,977,678,0.539406346,0.5252747253,0.6209439528,0.0263736264,0.1995905834,0.1506550218,31635
370010209011,370010209011,15000US370010209011,37001,1166,851,0.846483705,0.9021922428,0.3619271445,0.1197301855,0.1363636364,0.0803827751,32578
370010209012,370010209012,15000US370010209012,37001,813,544,0.5006150062,0.6997167139,0.4301470588,0,0.159901599,0.2908093278,35208
370010209013,370010209013,15000US370010209013,37001,2080,1169,0.3908653846,0.5495798319,0.3840889649,0,0.2254807692,0.4066168623,58424
370010209021,370010209021,15000US370010209021,37001,2164,1509,0.7218114603,0.7548891786,0.4612326044,0.0221642764,0.1853228054,0.2822502425,59952
370010209022,370010209022,15000US370010209022,37001,1495,1175,0.8394648829,0.8619047619,0.3787234043,0.0174603175,0.1732441472,0.0221428571,53269
370010210001,370010210001,15000US370010210001,37001,985,669,0.3725888325,0.4273789649,0.66367713,0.2420701169,0.2912423625,0.1291390728,16661
370010210002,370010210002,15000US370010210002,37001,1954,1212,0.445752303,0.4961734694,0.6295379538,0.1007653061,0.2556352459,0.1987348445,26694
370010210003,370010210003,15000US370010210003,37001,673,450,0.5378900446,0.430976431,0.4622222222,0.0538720539,0.1560178306,0.1690590112,
370010211011,370010211011,15000US370010211011,37001,551,417,0.4736842105,0.531496063,0.3860911271,0.0433070866,0.1143375681,0.1161524501,29524
370010211012,370010211012,15000US370010211012,37001,1518,1037,0.652173913,0.7330016584,0.37512054,0.0165837479,0.1613965744,0.0909090909,46332
370010211013,370010211013,15000US370010211013,37001,476,299,0.6218487395,0.5990338164,0.491638796,0.1014492754,0.1659663866,0.0772626932,26438
370010211021,370010211021,15000US370010211021,37001,1014,655,0.5542406312,0.6578947368,0.6595419847,0.0730994152,0.0770171149,0.0368715084,18654
370010211022,370010211022,15000US370010211022,37001,1377,881,0.7058823529,0.7872340426,0.448354143,0.0514184397,0.0856935367,0.1131474104,43065
370010211023,370010211023,15000US370010211023,37001,1009,897,0.9544103072,0.9650092081,0.4102564103,0.0865561694,0.1546085233,0.0191919192,41393
370010212011,370010212011,15000US370010212011,37001,2261,1283,0.273772667,0.3079847909,0.4894777864,0.102661597,0.2025652366,0.2984111221,33271
370010212012,370010212012,15000US370010212012,37001,1783,1174,0.6382501402,0.6582781457,0.5528109029,0.0582781457,0.1761076837,0.0969084423,31438
370010212013,370010212013,15000US370010212013,37001,1151,850,0.8444830582,0.8773784355,0.5541176471,0.0084566596,0.2319721981,0.0850131464,42679
370010212041,370010212041,15000US370010212041,37001,1195,911,0.89958159,0.844765343,0.2799121844,0.0180505415,0.0619246862,0.1275862069,71250
370010212042,370010212042,15000US370010212042,37001,2305,1479,0.6312364425,0.7102199224,0.3941852603,0.0388098318,0.1364477336,0.1075418994,47434
370010212043,370010212043,15000US370010212043,37001,1088,723,0.7077205882,0.7494252874,0.5864453665,0,0.1167279412,0.1785009862,51042
